item_id,date,sales_units
ITEM-0003,2023-02-01,148
ITEM-0003,2023-03-01,122
ITEM-0003,2023-04-01,117
ITEM-0003,2023-05-01,117
ITEM-0003,2023-06-01,166
ITEM-0003,2023-07-01,203
ITEM-0003,2023-08-01,267
ITEM-0003,2023-09-01,254
ITEM-0003,2023-10-01,217
ITEM-0003,2023-11-01,197
ITEM-0003,2023-12-01,159
ITEM-0003,2024-01-01,169
ITEM-0003,2024-02-01,123
ITEM-0003,2024-03-01,120
ITEM-0003,2024-04-01,115
ITEM-0003,2024-05-01,137
ITEM-0003,2024-06-01,176
ITEM-0003,2024-07-01,197
ITEM-0003,2024-08-01,286
ITEM-0003,2024-09-01,218
ITEM-0003,2024-10-01,228
ITEM-0003,2024-11-01,221
ITEM-0003,2024-12-01,158
ITEM-0003,2025-01-01,118
ITEM-0003,2025-02-01,117
ITEM-0003,2025-03-01,79
ITEM-0003,2025-04-01,107
ITEM-0003,2025-05-01,91
ITEM-0003,2025-06-01,175
ITEM-0003,2025-07-01,178
ITEM-0003,2025-08-01,222
ITEM-0003,2025-09-01,263
ITEM-0004,2023-01-01,588
ITEM-0004,2023-02-01,691
ITEM-0004,2023-03-01,771
ITEM-0004,2023-04-01,1068
ITEM-0004,2023-05-01,917
ITEM-0004,2023-06-01,1010
ITEM-0004,2023-07-01,653
ITEM-0004,2023-08-01,520
ITEM-0004,2023-09-01,372
ITEM-0004,2023-10-01,373
ITEM-0004,2023-11-01,264
ITEM-0004,2023-12-01,304
ITEM-0004,2024-01-01,571
ITEM-0004,2024-02-01,567
ITEM-0004,2024-03-01,732
ITEM-0004,2024-04-01,688
ITEM-0004,2024-05-01,762
ITEM-0004,2024-06-01,745
ITEM-0004,2024-07-01,544
ITEM-0004,2024-08-01,381
ITEM-0004,2024-09-01,489
ITEM-0004,2024-10-01,438
ITEM-0004,2024-11-01,414
ITEM-0004,2024-12-01,518
ITEM-0004,2025-01-01,592
ITEM-0004,2025-02-01,822
ITEM-0004,2025-03-01,797
ITEM-0004,2025-04-01,762
ITEM-0004,2025-05-01,779
ITEM-0004,2025-06-01,711
ITEM-0004,2025-07-01,454
ITEM-0004,2025-08-01,342
ITEM-0004,2025-09-01,268
ITEM-0005,2023-01-01,477
ITEM-0005,2023-02-01,302
ITEM-0005,2023-03-01,431
ITEM-0005,2023-04-01,528
ITEM-0005,2023-05-01,656
ITEM-0005,2023-06-01,545
ITEM-0005,2023-07-01,517
ITEM-0005,2023-08-01,389
ITEM-0005,2023-09-01,411
ITEM-0005,2023-10-01,413
ITEM-0005,2023-11-01,176
ITEM-0005,2023-12-01,338
ITEM-0005,2024-01-01,457
ITEM-0005,2024-02-01,402
ITEM-0005,2024-03-01,399
ITEM-0005,2024-04-01,465
ITEM-0005,2024-05-01,320
ITEM-0005,2024-06-01,511
ITEM-0005,2024-07-01,569
ITEM-0005,2024-08-01,538
ITEM-0005,2024-09-01,491
ITEM-0005,2024-10-01,479
ITEM-0005,2024-11-01,452
ITEM-0005,2024-12-01,432
ITEM-0005,2025-01-01,346
ITEM-0005,2025-02-01,445
ITEM-0005,2025-03-01,386
ITEM-0005,2025-04-01,483
ITEM-0005,2025-05-01,362
ITEM-0005,2025-06-01,359
ITEM-0005,2025-07-01,497
ITEM-0005,2025-08-01,455
ITEM-0005,2025-09-01,401
ITEM-0006,2023-01-01,318
ITEM-0006,2023-02-01,243
ITEM-0006,2023-03-01,291
ITEM-0006,2023-04-01,361
ITEM-0006,2023-05-01,325
ITEM-0006,2023-06-01,390
ITEM-0006,2023-07-01,319
ITEM-0006,2023-08-01,238
ITEM-0006,2023-09-01,333
ITEM-0006,2023-10-01,248
ITEM-0006,2023-11-01,265
ITEM-0006,2023-12-01,350
ITEM-0006,2024-01-01,235
ITEM-0006,2024-02-01,337
ITEM-0006,2024-03-01,361
ITEM-0006,2024-04-01,435
ITEM-0006,2024-05-01,468
ITEM-0006,2024-06-01,445
ITEM-0006,2024-07-01,400
ITEM-0006,2024-08-01,419
ITEM-0006,2024-09-01,426
ITEM-0006,2024-10-01,307
ITEM-0006,2024-11-01,254
ITEM-0006,2024-12-01,264
ITEM-0006,2025-01-01,238
ITEM-0006,2025-02-01,175
ITEM-0006,2025-03-01,290
ITEM-0006,2025-04-01,242
ITEM-0006,2025-05-01,375
ITEM-0006,2025-06-01,344
ITEM-0006,2025-07-01,409
ITEM-0006,2025-08-01,432
ITEM-0006,2025-09-01,535
ITEM-0007,2023-01-01,332
ITEM-0007,2023-02-01,273
ITEM-0007,2023-03-01,325
ITEM-0007,2023-04-01,377
ITEM-0007,2023-05-01,461
ITEM-0007,2023-06-01,516
ITEM-0007,2023-07-01,575
ITEM-0007,2023-08-01,785
ITEM-0007,2023-09-01,573
ITEM-0007,2023-10-01,496
ITEM-0007,2023-11-01,531
ITEM-0007,2023-12-01,463
ITEM-0007,2024-01-01,349
ITEM-0007,2024-02-01,395
ITEM-0007,2024-03-01,384
ITEM-0007,2024-04-01,453
ITEM-0007,2024-05-01,514
ITEM-0007,2024-06-01,553
ITEM-0007,2024-07-01,570
ITEM-0007,2024-08-01,574
ITEM-0007,2024-09-01,537
ITEM-0007,2024-10-01,483
ITEM-0007,2024-11-01,440
ITEM-0007,2024-12-01,366
ITEM-0007,2025-01-01,375
ITEM-0007,2025-02-01,402
ITEM-0007,2025-03-01,384
ITEM-0007,2025-04-01,474
ITEM-0007,2025-05-01,722
ITEM-0007,2025-06-01,630
ITEM-0007,2025-07-01,663
ITEM-0007,2025-08-01,689
ITEM-0007,2025-09-01,649
ITEM-0008,2023-01-01,395
ITEM-0008,2023-02-01,542
ITEM-0008,2023-03-01,695
ITEM-0008,2023-04-01,591
ITEM-0008,2023-05-01,776
ITEM-0008,2023-06-01,391
ITEM-0008,2023-07-01,489
ITEM-0008,2023-08-01,394
ITEM-0008,2023-09-01,408
ITEM-0008,2023-10-01,415
ITEM-0008,2023-11-01,456
ITEM-0008,2023-12-01,552
ITEM-0008,2024-01-01,517
ITEM-0008,2024-02-01,648
ITEM-0008,2024-03-01,713
ITEM-0008,2024-04-01,484
ITEM-0008,2024-05-01,480
ITEM-0008,2024-06-01,412
ITEM-0008,2024-07-01,313
ITEM-0008,2024-08-01,306
ITEM-0008,2024-09-01,402
ITEM-0008,2024-10-01,449
ITEM-0008,2024-11-01,540
ITEM-0008,2024-12-01,434
ITEM-0008,2025-01-01,601
ITEM-0008,2025-02-01,418
ITEM-0008,2025-03-01,705
ITEM-0008,2025-04-01,463
ITEM-0008,2025-05-01,532
ITEM-0008,2025-06-01,649
ITEM-0008,2025-07-01,622
ITEM-0008,2025-08-01,245
ITEM-0008,2025-09-01,408
ITEM-0009,2023-01-01,318
ITEM-0009,2023-02-01,351
ITEM-0009,2023-03-01,333
ITEM-0009,2023-04-01,468
ITEM-0009,2023-05-01,518
ITEM-0009,2023-06-01,537
ITEM-0009,2023-07-01,609
ITEM-0009,2023-08-01,557
ITEM-0009,2023-09-01,458
ITEM-0009,2023-10-01,548
ITEM-0009,2023-11-01,411
ITEM-0009,2023-12-01,363
ITEM-0009,2024-01-01,381
ITEM-0009,2024-02-01,427
ITEM-0009,2024-03-01,438
ITEM-0009,2024-04-01,562
ITEM-0009,2024-05-01,627
ITEM-0009,2024-06-01,706
ITEM-0009,2024-07-01,681
ITEM-0009,2024-08-01,631
ITEM-0009,2024-09-01,573
ITEM-0009,2024-10-01,525
ITEM-0009,2024-11-01,428
ITEM-0009,2024-12-01,372
ITEM-0009,2025-01-01,373
ITEM-0009,2025-02-01,427
ITEM-0009,2025-03-01,469
ITEM-0009,2025-04-01,521
ITEM-0009,2025-05-01,582
ITEM-0009,2025-06-01,600
ITEM-0009,2025-07-01,614
ITEM-0009,2025-08-01,576
ITEM-0009,2025-09-01,535
ITEM-0010,2023-01-01,893
ITEM-0010,2023-02-01,677
ITEM-0010,2023-03-01,727
ITEM-0010,2023-04-01,536
ITEM-0010,2023-05-01,667
ITEM-0010,2023-06-01,341
ITEM-0010,2023-07-01,454
ITEM-0010,2023-08-01,522
ITEM-0010,2023-09-01,495
ITEM-0010,2023-10-01,578
ITEM-0010,2023-11-01,882
ITEM-0010,2023-12-01,932
ITEM-0010,2024-01-01,1098
ITEM-0010,2024-02-01,671
ITEM-0010,2024-03-01,770
ITEM-0010,2024-04-01,529
ITEM-0010,2024-05-01,443
ITEM-0010,2024-06-01,570
ITEM-0010,2024-07-01,589
ITEM-0010,2024-08-01,679
ITEM-0010,2024-09-01,967
ITEM-0010,2024-10-01,707
ITEM-0010,2024-11-01,699
ITEM-0010,2024-12-01,686
ITEM-0010,2025-01-01,549
ITEM-0010,2025-02-01,672
ITEM-0010,2025-03-01,776
ITEM-0010,2025-04-01,693
ITEM-0010,2025-05-01,442
ITEM-0010,2025-06-01,587
ITEM-0010,2025-07-01,572
ITEM-0010,2025-08-01,581
ITEM-0010,2025-09-01,599
ITEM-0011,2023-01-01,653
ITEM-0011,2023-02-01,695
ITEM-0011,2023-03-01,647
ITEM-0011,2023-04-01,652
ITEM-0011,2023-05-01,535
ITEM-0011,2023-06-01,415
ITEM-0011,2023-07-01,322
ITEM-0011,2023-08-01,313
ITEM-0011,2023-09-01,307
ITEM-0011,2023-10-01,367
ITEM-0011,2023-11-01,451
ITEM-0011,2023-12-01,602
ITEM-0011,2024-01-01,621
ITEM-0011,2024-02-01,728
ITEM-0011,2024-03-01,699
ITEM-0011,2024-04-01,653
ITEM-0011,2024-05-01,574
ITEM-0011,2024-06-01,427
ITEM-0011,2024-07-01,435
ITEM-0011,2024-08-01,413
ITEM-0011,2024-09-01,388
ITEM-0011,2024-10-01,463
ITEM-0011,2024-11-01,592
ITEM-0011,2024-12-01,609
ITEM-0011,2025-01-01,708
ITEM-0011,2025-02-01,749
ITEM-0011,2025-03-01,739
ITEM-0011,2025-04-01,672
ITEM-0011,2025-05-01,558
ITEM-0011,2025-06-01,473
ITEM-0011,2025-07-01,345
ITEM-0011,2025-08-01,321
ITEM-0011,2025-09-01,385
ITEM-0012,2023-01-01,230
ITEM-0012,2023-02-01,159
ITEM-0012,2023-03-01,157
ITEM-0012,2023-04-01,158
ITEM-0012,2023-05-01,196
ITEM-0012,2023-06-01,186
ITEM-0012,2023-07-01,170
ITEM-0012,2023-08-01,256
ITEM-0012,2023-09-01,181
ITEM-0012,2023-10-01,177
ITEM-0012,2023-11-01,176
ITEM-0012,2023-12-01,170
ITEM-0012,2024-01-01,169
ITEM-0012,2024-02-01,84
ITEM-0012,2024-03-01,156
ITEM-0012,2024-04-01,120
ITEM-0012,2024-05-01,161
ITEM-0012,2024-06-01,262
ITEM-0012,2024-07-01,150
ITEM-0012,2024-08-01,215
ITEM-0012,2024-09-01,216
ITEM-0012,2024-10-01,191
ITEM-0012,2024-11-01,224
ITEM-0012,2024-12-01,163
ITEM-0012,2025-01-01,157
ITEM-0012,2025-02-01,207
ITEM-0012,2025-03-01,231
ITEM-0012,2025-04-01,209
ITEM-0012,2025-05-01,201
ITEM-0012,2025-06-01,231
ITEM-0012,2025-07-01,283
ITEM-0012,2025-08-01,262
ITEM-0012,2025-09-01,245
ITEM-0013,2023-01-01,189
ITEM-0013,2023-02-01,263
ITEM-0013,2023-03-01,222
ITEM-0013,2023-04-01,260
ITEM-0013,2023-05-01,347
ITEM-0013,2023-06-01,333
ITEM-0013,2023-07-01,386
ITEM-0013,2023-08-01,355
ITEM-0013,2023-09-01,347
ITEM-0013,2023-10-01,334
ITEM-0013,2023-11-01,263
ITEM-0013,2023-12-01,206
ITEM-0013,2024-01-01,218
ITEM-0013,2024-02-01,310
ITEM-0013,2024-03-01,288
ITEM-0013,2024-04-01,285
ITEM-0013,2024-05-01,391
ITEM-0013,2024-06-01,435
ITEM-0013,2024-07-01,464
ITEM-0013,2024-08-01,399
ITEM-0013,2024-09-01,399
ITEM-0013,2024-10-01,371
ITEM-0013,2024-11-01,352
ITEM-0013,2024-12-01,364
ITEM-0013,2025-01-01,334
ITEM-0013,2025-02-01,337
ITEM-0013,2025-03-01,400
ITEM-0013,2025-04-01,397
ITEM-0013,2025-05-01,390
ITEM-0013,2025-06-01,368
ITEM-0013,2025-07-01,404
ITEM-0013,2025-08-01,422
ITEM-0013,2025-09-01,454
ITEM-0014,2023-01-01,98
ITEM-0014,2023-02-01,93
ITEM-0014,2023-03-01,74
ITEM-0014,2023-04-01,56
ITEM-0014,2023-05-01,70
ITEM-0014,2023-06-01,70
ITEM-0014,2023-07-01,56
ITEM-0014,2023-08-01,38
ITEM-0014,2023-09-01,52
ITEM-0014,2023-10-01,72
ITEM-0014,2023-11-01,111
ITEM-0014,2023-12-01,111
ITEM-0014,2024-01-01,101
ITEM-0014,2024-02-01,86
ITEM-0014,2024-03-01,96
ITEM-0014,2024-04-01,81
ITEM-0014,2024-05-01,74
ITEM-0014,2024-06-01,80
ITEM-0014,2024-07-01,66
ITEM-0014,2024-08-01,90
ITEM-0014,2024-09-01,82
ITEM-0014,2024-10-01,61
ITEM-0014,2024-11-01,62
ITEM-0014,2024-12-01,97
ITEM-0014,2025-01-01,104
ITEM-0014,2025-02-01,53
ITEM-0014,2025-03-01,84
ITEM-0014,2025-04-01,77
ITEM-0014,2025-05-01,87
ITEM-0014,2025-06-01,104
ITEM-0014,2025-07-01,73
ITEM-0014,2025-08-01,56
ITEM-0014,2025-09-01,98
ITEM-0015,2023-01-01,302
ITEM-0015,2023-02-01,305
ITEM-0015,2023-03-01,379
ITEM-0015,2023-04-01,326
ITEM-0015,2023-05-01,326
ITEM-0015,2023-06-01,324
ITEM-0015,2023-07-01,225
ITEM-0015,2023-08-01,283
ITEM-0015,2023-09-01,227
ITEM-0015,2023-10-01,304
ITEM-0015,2023-11-01,295
ITEM-0015,2023-12-01,426
ITEM-0015,2024-01-01,417
ITEM-0015,2024-02-01,402
ITEM-0015,2024-03-01,429
ITEM-0015,2024-04-01,343
ITEM-0015,2024-05-01,352
ITEM-0015,2024-06-01,306
ITEM-0015,2024-07-01,279
ITEM-0015,2024-08-01,294
ITEM-0015,2024-09-01,279
ITEM-0015,2024-10-01,284
ITEM-0015,2024-11-01,302
ITEM-0015,2024-12-01,356
ITEM-0015,2025-01-01,365
ITEM-0015,2025-02-01,391
ITEM-0015,2025-03-01,360
ITEM-0015,2025-04-01,457
ITEM-0015,2025-05-01,412
ITEM-0015,2025-06-01,364
ITEM-0015,2025-07-01,333
ITEM-0015,2025-08-01,320
ITEM-0015,2025-09-01,307
ITEM-0016,2023-01-01,139
ITEM-0016,2023-02-01,170
ITEM-0016,2023-03-01,191
ITEM-0016,2023-04-01,198
ITEM-0016,2023-05-01,242
ITEM-0016,2023-06-01,220
ITEM-0016,2023-07-01,209
ITEM-0016,2023-08-01,181
ITEM-0016,2023-09-01,153
ITEM-0016,2023-10-01,134
ITEM-0016,2023-11-01,132
ITEM-0016,2023-12-01,127
ITEM-0016,2024-01-01,121
ITEM-0016,2024-02-01,156
ITEM-0016,2024-03-01,174
ITEM-0016,2024-04-01,182
ITEM-0016,2024-05-01,175
ITEM-0016,2024-06-01,216
ITEM-0016,2024-07-01,168
ITEM-0016,2024-08-01,191
ITEM-0016,2024-09-01,170
ITEM-0016,2024-10-01,190
ITEM-0016,2024-11-01,190
ITEM-0016,2024-12-01,175
ITEM-0016,2025-01-01,188
ITEM-0016,2025-02-01,210
ITEM-0016,2025-03-01,200
ITEM-0016,2025-04-01,213
ITEM-0016,2025-05-01,206
ITEM-0016,2025-06-01,213
ITEM-0016,2025-07-01,180
ITEM-0016,2025-08-01,192
ITEM-0016,2025-09-01,140
ITEM-0017,2023-01-01,492
ITEM-0017,2023-02-01,491
ITEM-0017,2023-03-01,679
ITEM-0017,2023-04-01,714
ITEM-0017,2023-05-01,696
ITEM-0017,2023-06-01,574
ITEM-0017,2023-07-01,594
ITEM-0017,2023-08-01,528
ITEM-0017,2023-09-01,371
ITEM-0017,2023-10-01,618
ITEM-0017,2023-11-01,452
ITEM-0017,2023-12-01,447
ITEM-0017,2024-01-01,629
ITEM-0017,2024-02-01,513
ITEM-0017,2024-03-01,546
ITEM-0017,2024-04-01,658
ITEM-0017,2024-05-01,619
ITEM-0017,2024-06-01,751
ITEM-0017,2024-07-01,662
ITEM-0017,2024-08-01,593
ITEM-0017,2024-09-01,513
ITEM-0017,2024-10-01,484
ITEM-0017,2024-11-01,645
ITEM-0017,2024-12-01,381
ITEM-0017,2025-01-01,609
ITEM-0017,2025-02-01,488
ITEM-0017,2025-03-01,549
ITEM-0017,2025-04-01,639
ITEM-0017,2025-05-01,634
ITEM-0017,2025-06-01,803
ITEM-0017,2025-07-01,718
ITEM-0017,2025-08-01,627
ITEM-0017,2025-09-01,640
ITEM-0018,2023-01-01,520
ITEM-0018,2023-02-01,448
ITEM-0018,2023-03-01,383
ITEM-0018,2023-04-01,317
ITEM-0018,2023-05-01,251
ITEM-0018,2023-06-01,215
ITEM-0018,2023-07-01,163
ITEM-0018,2023-08-01,207
ITEM-0018,2023-09-01,254
ITEM-0018,2023-10-01,429
ITEM-0018,2023-11-01,334
ITEM-0018,2023-12-01,424
ITEM-0018,2024-01-01,487
ITEM-0018,2024-02-01,425
ITEM-0018,2024-03-01,300
ITEM-0018,2024-04-01,371
ITEM-0018,2024-05-01,275
ITEM-0018,2024-06-01,335
ITEM-0018,2024-07-01,281
ITEM-0018,2024-08-01,265
ITEM-0018,2024-09-01,312
ITEM-0018,2024-10-01,478
ITEM-0018,2024-11-01,523
ITEM-0018,2024-12-01,586
ITEM-0018,2025-01-01,522
ITEM-0018,2025-02-01,482
ITEM-0018,2025-03-01,406
ITEM-0018,2025-04-01,318
ITEM-0018,2025-05-01,249
ITEM-0018,2025-06-01,212
ITEM-0018,2025-07-01,160
ITEM-0018,2025-08-01,151
ITEM-0018,2025-09-01,247
ITEM-0019,2023-01-01,160
ITEM-0019,2023-02-01,325
ITEM-0019,2023-03-01,158
ITEM-0019,2023-04-01,271
ITEM-0019,2023-05-01,356
ITEM-0019,2023-06-01,270
ITEM-0019,2023-07-01,387
ITEM-0019,2023-08-01,452
ITEM-0019,2023-09-01,407
ITEM-0019,2023-10-01,560
ITEM-0019,2023-11-01,284
ITEM-0019,2023-12-01,414
ITEM-0019,2024-01-01,323
ITEM-0019,2024-02-01,362
ITEM-0019,2024-03-01,341
ITEM-0019,2024-04-01,282
ITEM-0019,2024-05-01,350
ITEM-0019,2024-06-01,246
ITEM-0019,2024-07-01,394
ITEM-0019,2024-08-01,374
ITEM-0019,2024-09-01,413
ITEM-0019,2024-10-01,377
ITEM-0019,2024-11-01,308
ITEM-0019,2024-12-01,268
ITEM-0019,2025-01-01,225
ITEM-0019,2025-02-01,198
ITEM-0019,2025-03-01,319
ITEM-0019,2025-04-01,362
ITEM-0019,2025-05-01,307
ITEM-0019,2025-06-01,364
ITEM-0019,2025-07-01,346
ITEM-0019,2025-08-01,520
ITEM-0019,2025-09-01,465
ITEM-0020,2023-01-01,267
ITEM-0020,2023-02-01,258
ITEM-0020,2023-03-01,233
ITEM-0020,2023-04-01,278
ITEM-0020,2023-05-01,291
ITEM-0020,2023-06-01,219
ITEM-0020,2023-07-01,280
ITEM-0020,2023-08-01,197
ITEM-0020,2023-09-01,375
ITEM-0020,2023-10-01,246
ITEM-0020,2023-11-01,315
ITEM-0020,2023-12-01,282
ITEM-0020,2024-01-01,301
ITEM-0020,2024-02-01,219
ITEM-0020,2024-03-01,303
ITEM-0020,2024-04-01,322
ITEM-0020,2024-05-01,250
ITEM-0020,2024-06-01,208
ITEM-0020,2024-07-01,192
ITEM-0020,2024-08-01,261
ITEM-0020,2024-09-01,308
ITEM-0020,2024-10-01,129
ITEM-0020,2024-11-01,210
ITEM-0020,2024-12-01,219
ITEM-0020,2025-01-01,163
ITEM-0020,2025-02-01,270
ITEM-0020,2025-03-01,363
ITEM-0020,2025-04-01,368
ITEM-0020,2025-05-01,319
ITEM-0020,2025-06-01,322
ITEM-0020,2025-07-01,288
ITEM-0020,2025-08-01,196
ITEM-0020,2025-09-01,253
ITEM-0021,2023-01-01,326
ITEM-0021,2023-02-01,381
ITEM-0021,2023-03-01,391
ITEM-0021,2023-04-01,234
ITEM-0021,2023-05-01,323
ITEM-0021,2023-06-01,155
ITEM-0021,2023-07-01,164
ITEM-0021,2023-08-01,171
ITEM-0021,2023-09-01,311
ITEM-0021,2023-10-01,186
ITEM-0021,2023-11-01,227
ITEM-0021,2023-12-01,395
ITEM-0021,2024-01-01,344
ITEM-0021,2024-02-01,395
ITEM-0021,2024-03-01,366
ITEM-0021,2024-04-01,378
ITEM-0021,2024-05-01,319
ITEM-0021,2024-06-01,343
ITEM-0021,2024-07-01,280
ITEM-0021,2024-08-01,227
ITEM-0021,2024-09-01,301
ITEM-0021,2024-10-01,289
ITEM-0021,2024-11-01,229
ITEM-0021,2024-12-01,384
ITEM-0021,2025-01-01,375
ITEM-0021,2025-02-01,469
ITEM-0021,2025-03-01,358
ITEM-0021,2025-04-01,280
ITEM-0021,2025-05-01,258
ITEM-0021,2025-06-01,256
ITEM-0021,2025-07-01,155
ITEM-0021,2025-08-01,160
ITEM-0021,2025-09-01,189
ITEM-0022,2023-01-01,129
ITEM-0022,2023-02-01,194
ITEM-0022,2023-03-01,224
ITEM-0022,2023-04-01,345
ITEM-0022,2023-05-01,433
ITEM-0022,2023-06-01,505
ITEM-0022,2023-07-01,565
ITEM-0022,2023-08-01,460
ITEM-0022,2023-09-01,441
ITEM-0022,2023-10-01,415
ITEM-0022,2023-11-01,344
ITEM-0022,2023-12-01,270
ITEM-0022,2024-01-01,253
ITEM-0022,2024-02-01,255
ITEM-0022,2024-03-01,319
ITEM-0022,2024-04-01,539
ITEM-0022,2024-05-01,472
ITEM-0022,2024-06-01,474
ITEM-0022,2024-07-01,539
ITEM-0022,2024-08-01,474
ITEM-0022,2024-09-01,443
ITEM-0022,2024-10-01,361
ITEM-0022,2024-11-01,304
ITEM-0022,2024-12-01,134
ITEM-0022,2025-01-01,181
ITEM-0022,2025-02-01,121
ITEM-0022,2025-03-01,307
ITEM-0022,2025-04-01,470
ITEM-0022,2025-05-01,597
ITEM-0022,2025-06-01,643
ITEM-0022,2025-07-01,493
ITEM-0022,2025-08-01,569
ITEM-0022,2025-09-01,578
ITEM-0023,2023-01-01,546
ITEM-0023,2023-02-01,593
ITEM-0023,2023-03-01,775
ITEM-0023,2023-04-01,593
ITEM-0023,2023-05-01,618
ITEM-0023,2023-06-01,654
ITEM-0023,2023-07-01,708
ITEM-0023,2023-08-01,532
ITEM-0023,2023-09-01,546
ITEM-0023,2023-10-01,583
ITEM-0023,2023-11-01,716
ITEM-0023,2023-12-01,697
ITEM-0023,2024-01-01,780
ITEM-0023,2024-02-01,804
ITEM-0023,2024-03-01,766
ITEM-0023,2024-04-01,678
ITEM-0023,2024-05-01,682
ITEM-0023,2024-06-01,577
ITEM-0023,2024-07-01,520
ITEM-0023,2024-08-01,541
ITEM-0023,2024-09-01,593
ITEM-0023,2024-10-01,371
ITEM-0023,2024-11-01,526
ITEM-0023,2024-12-01,418
ITEM-0023,2025-01-01,573
ITEM-0023,2025-02-01,616
ITEM-0023,2025-03-01,707
ITEM-0023,2025-04-01,629
ITEM-0023,2025-05-01,646
ITEM-0023,2025-06-01,453
ITEM-0023,2025-07-01,555
ITEM-0023,2025-08-01,410
ITEM-0023,2025-09-01,501
ITEM-0024,2023-01-01,114
ITEM-0024,2023-02-01,116
ITEM-0024,2023-03-01,163
ITEM-0024,2023-04-01,180
ITEM-0024,2023-05-01,205
ITEM-0024,2023-06-01,218
ITEM-0024,2023-07-01,172
ITEM-0024,2023-08-01,157
ITEM-0024,2023-09-01,97
ITEM-0024,2023-10-01,90
ITEM-0024,2023-11-01,51
ITEM-0024,2023-12-01,70
ITEM-0024,2024-01-01,46
ITEM-0024,2024-02-01,94
ITEM-0024,2024-03-01,133
ITEM-0024,2024-04-01,155
ITEM-0024,2024-05-01,150
ITEM-0024,2024-06-01,155
ITEM-0024,2024-07-01,153
ITEM-0024,2024-08-01,149
ITEM-0024,2024-09-01,112
ITEM-0024,2024-10-01,85
ITEM-0024,2024-11-01,61
ITEM-0024,2024-12-01,111
ITEM-0024,2025-01-01,125
ITEM-0024,2025-02-01,130
ITEM-0024,2025-03-01,133
ITEM-0024,2025-04-01,170
ITEM-0024,2025-05-01,178
ITEM-0024,2025-06-01,153
ITEM-0024,2025-07-01,135
ITEM-0024,2025-08-01,121
ITEM-0024,2025-09-01,52
ITEM-0025,2023-01-01,370
ITEM-0025,2023-02-01,406
ITEM-0025,2023-03-01,297
ITEM-0025,2023-04-01,190
ITEM-0025,2023-05-01,197
ITEM-0025,2023-06-01,124
ITEM-0025,2023-07-01,272
ITEM-0025,2023-08-01,261
ITEM-0025,2023-09-01,226
ITEM-0025,2023-10-01,297
ITEM-0025,2023-11-01,277
ITEM-0025,2023-12-01,310
ITEM-0025,2024-01-01,358
ITEM-0025,2024-02-01,352
ITEM-0025,2024-03-01,399
ITEM-0025,2024-04-01,277
ITEM-0025,2024-05-01,218
ITEM-0025,2024-06-01,223
ITEM-0025,2024-07-01,279
ITEM-0025,2024-08-01,256
ITEM-0025,2024-09-01,298
ITEM-0025,2024-10-01,313
ITEM-0025,2024-11-01,403
ITEM-0025,2024-12-01,335
ITEM-0025,2025-01-01,342
ITEM-0025,2025-02-01,381
ITEM-0025,2025-03-01,295
ITEM-0025,2025-04-01,319
ITEM-0025,2025-05-01,298
ITEM-0025,2025-06-01,284
